# Block  Call_Price  Call_Error  Put_Price  Put_Error
1 15.27 0 5.29431 0
2 14.7818 0.488218 5.3942 0.0998968
3 14.8087 0.283147 5.42585 0.0657871
4 14.8264 0.201002 5.40451 0.0511782
5 14.9501 0.198833 5.53203 0.133533
6 14.89 0.173107 5.46258 0.12927
7 14.8626 0.148848 5.39073 0.130756
8 14.9182 0.140385 5.44135 0.124037
9 14.9336 0.124764 5.41897 0.111658
10 14.9529 0.113243 5.44604 0.103475
11 14.965 0.103151 5.45141 0.0937502
12 14.8187 0.174019 5.5028 0.0998292
13 14.8597 0.165255 5.51526 0.0926706
14 14.868 0.15322 5.51799 0.0858398
15 14.8605 0.142837 5.55048 0.0862623
16 14.8107 0.142589 5.53662 0.0818715
17 14.849 0.139301 5.49968 0.0853184
18 14.8815 0.135292 5.47744 0.0834564
19 14.904 0.129947 5.47127 0.0791826
20 14.9076 0.123329 5.46509 0.0753733
21 14.9116 0.117378 5.46522 0.0716944
22 14.8612 0.122747 5.48865 0.0722623
23 14.8893 0.120618 5.48304 0.0692763
24 14.8817 0.115733 5.49146 0.0668589
25 14.9359 0.123549 5.46728 0.0685345
26 14.9581 0.12076 5.45676 0.0666806
27 14.9371 0.118094 5.48298 0.0693111
28 14.9543 0.115092 5.47945 0.0668829
29 14.9501 0.111131 5.49444 0.0662528
30 14.98 0.111455 5.50992 0.0658532
31 14.9748 0.107925 5.50541 0.0638535
32 14.9756 0.1045 5.49881 0.0621764
33 14.9972 0.103573 5.49181 0.0606687
34 15.0055 0.100821 5.47301 0.0617871
35 15.0274 0.100331 5.47019 0.0600619
36 15.0534 0.100892 5.46119 0.0590599
37 15.0654 0.0988613 5.45515 0.0577579
38 15.0702 0.0963428 5.45812 0.0562958
39 15.0566 0.0948211 5.45321 0.0550527
40 15.047 0.0929167 5.45333 0.0536588
41 15.0405 0.090852 5.45544 0.0523764
42 15.0101 0.093739 5.46214 0.0515516
43 14.9978 0.0923566 5.46618 0.0504998
44 15.003 0.0903817 5.46212 0.0495056
45 15.0302 0.0924676 5.45464 0.0489675
46 15.0231 0.0907186 5.45234 0.0479461
47 15.0362 0.0897294 5.45619 0.0470723
48 15.0263 0.0883931 5.46133 0.0463674
49 15.0209 0.0867368 5.45976 0.0454384
50 14.9941 0.0891167 5.46636 0.0450061
51 14.9881 0.0875591 5.46743 0.0441279
52 15.0092 0.0884085 5.46295 0.0435021
53 15.0085 0.086727 5.46384 0.0426827
54 15.0158 0.0854212 5.45282 0.0433095
55 15.0363 0.0863227 5.45128 0.0425429
56 15.0375 0.0847749 5.44494 0.0422543
57 15.0348 0.0833181 5.45231 0.0421555
58 15.0506 0.0833924 5.44088 0.0429694
59 15.055 0.0820802 5.44553 0.0424899
60 15.0416 0.0817942 5.45369 0.042565
61 15.0622 0.0830324 5.4438 0.0430135
62 15.0547 0.0820251 5.43851 0.0426442
63 15.0418 0.0817387 5.44131 0.0420552
64 15.0531 0.0812474 5.43832 0.0415006
65 15.0456 0.0803383 5.44153 0.0409833
66 15.0501 0.0792377 5.43721 0.0405881
67 15.0509 0.0780502 5.44362 0.0404875
68 15.0629 0.0778181 5.43864 0.0401972
69 15.0575 0.0768719 5.44182 0.039738
70 15.0532 0.0758874 5.4434 0.0391983
71 15.0557 0.0748535 5.44786 0.0388984
72 15.059 0.0738788 5.44395 0.0385536
73 15.0535 0.0730607 5.44603 0.038079
74 15.0511 0.0721093 5.44191 0.0377866
75 15.0531 0.071171 5.4453 0.0374338
76 15.0577 0.0703745 5.44265 0.0370335
77 15.0661 0.0699643 5.43758 0.0368994
78 15.0612 0.0692373 5.43637 0.0364433
79 15.0524 0.0689184 5.43767 0.0360027
80 15.0389 0.0693653 5.44581 0.0364692
81 15.0402 0.0685156 5.44602 0.0360167
82 15.0387 0.0676914 5.44771 0.0356153
83 15.0404 0.0668932 5.44536 0.0352621
84 15.0423 0.0661189 5.44427 0.034857
85 15.036 0.0656461 5.44516 0.0344561
86 15.045 0.065507 5.44062 0.0343552
87 15.0445 0.064752 5.44055 0.033958
88 15.0392 0.0642293 5.44102 0.0335732
89 15.0365 0.0635605 5.44192 0.033206
90 15.0353 0.0628605 5.44175 0.0328354
91 15.0336 0.0621901 5.44226 0.0324764
92 15.0318 0.0615375 5.44405 0.0321717
93 15.0344 0.0609277 5.44599 0.0318829
94 15.0416 0.0607064 5.44403 0.0316028
95 15.0444 0.0601296 5.44487 0.0312798
96 15.0468 0.0595472 5.44601 0.0309731
97 15.0524 0.059196 5.44997 0.0309062
98 15.0471 0.0588307 5.4548 0.0309683
99 15.0403 0.0586242 5.45617 0.0306849
100 15.0408 0.0580374 5.45399 0.0304551
