# Block  Call_Price  Call_Error  Put_Price  Put_Error
1 14.5635 0 5.78059 0
2 15.1871 0.623621 5.81151 0.0309214
3 14.8802 0.473115 5.71549 0.097663
4 15.0543 0.377115 5.67791 0.0786221
5 15.0885 0.294105 5.57721 0.117688
6 15.1124 0.241328 5.50355 0.121077
7 15.2085 0.225454 5.47464 0.106334
8 15.1827 0.196943 5.47039 0.0921854
9 15.1815 0.173692 5.44165 0.0862298
10 15.1556 0.157487 5.42383 0.0791592
11 15.2259 0.158827 5.40137 0.0750413
12 15.1905 0.149238 5.43098 0.0746257
13 15.189 0.137287 5.42048 0.0694436
14 15.1182 0.145515 5.39088 0.0707797
15 15.1007 0.136591 5.38254 0.0664179
16 15.1211 0.129395 5.38987 0.06256
17 15.1794 0.134793 5.36759 0.062847
18 15.1527 0.129864 5.36201 0.0595148
19 15.145 0.123075 5.34658 0.058373
20 15.1708 0.119573 5.33817 0.056012
21 15.118 0.125413 5.33507 0.0533682
22 15.1184 0.119578 5.34953 0.0528983
23 15.1158 0.114291 5.37216 0.0553831
24 15.1267 0.109971 5.38934 0.0557381
25 15.1179 0.105847 5.39384 0.0536509
26 15.0911 0.105188 5.40766 0.0533685
27 15.0742 0.102612 5.41668 0.0521394
28 15.0209 0.112339 5.42301 0.0506405
29 15.0121 0.108749 5.41953 0.0489874
30 15.0117 0.105063 5.41832 0.0473417
31 15.002 0.10207 5.42923 0.0470706
32 15.0177 0.100068 5.42854 0.0455812
33 15.0484 0.101731 5.42861 0.0441784
34 15.0331 0.0998735 5.42785 0.042866
35 15.069 0.103402 5.42714 0.0416294
36 15.0584 0.101046 5.42716 0.0404565
37 15.06 0.09829 5.42219 0.0396607
38 15.0522 0.095989 5.43024 0.0394344
39 15.0715 0.0954799 5.43015 0.03841
40 15.0653 0.0932687 5.43437 0.0376751
41 15.0557 0.0914715 5.4287 0.0371804
42 15.058 0.089296 5.43668 0.0371523
43 15.0445 0.0882371 5.44454 0.0371186
44 15.0539 0.0867247 5.43366 0.0378612
45 15.0213 0.0908235 5.43809 0.0372745
46 15.0109 0.089436 5.43998 0.0365044
47 15.0018 0.0879816 5.44155 0.0357537
48 14.9967 0.0862839 5.44764 0.0355273
49 15.0198 0.0876026 5.44701 0.0348004
50 15.0208 0.0858395 5.44165 0.0345157
51 15.0262 0.084307 5.43423 0.0346366
52 15.0163 0.0832599 5.43669 0.034053
53 15.0288 0.0826247 5.43129 0.0338381
54 15.0307 0.0811035 5.43223 0.0332188
55 15.0417 0.0803691 5.42773 0.0329188
56 15.0413 0.0789217 5.43238 0.0326584
57 15.0505 0.0780687 5.42475 0.0329743
58 15.0474 0.0767766 5.42377 0.0324157
59 15.0412 0.0757131 5.42733 0.0320598
60 15.0337 0.0748156 5.4316 0.0318092
61 15.0434 0.0742126 5.42936 0.0313638
62 15.0304 0.0741653 5.43139 0.0309205
63 15.0407 0.0737057 5.43416 0.030552
64 15.0509 0.0732548 5.43548 0.0300997
65 15.0415 0.0727299 5.43703 0.0296734
66 15.036 0.0718265 5.44398 0.0300358
67 15.0314 0.0708986 5.44842 0.0299146
68 15.0369 0.0700699 5.4459 0.0295787
69 15.0516 0.0705784 5.44901 0.0293121
70 15.0479 0.0696596 5.44229 0.0296609
71 15.0569 0.0692586 5.44 0.0293294
72 15.061 0.0684144 5.4408 0.0289301
73 15.0676 0.0677894 5.44152 0.0285401
74 15.0694 0.0668928 5.44285 0.0281832
75 15.0575 0.0670675 5.44648 0.028042
76 15.063 0.0664105 5.44577 0.0276799
77 15.0491 0.0670036 5.44574 0.027318
78 15.0538 0.0663039 5.44193 0.0272336
79 15.0546 0.0654645 5.44333 0.0269229
80 15.0486 0.0649166 5.44717 0.0268603
81 15.0525 0.0642279 5.45167 0.0269056
82 15.034 0.0660827 5.45903 0.0275769
83 15.028 0.0655604 5.45706 0.0273139
84 15.0219 0.065055 5.45892 0.0270507
85 15.0057 0.0663033 5.4599 0.0267484
86 15.0158 0.0663067 5.4528 0.027372
87 15.013 0.0655999 5.45827 0.0276036
88 15.0191 0.0651345 5.45215 0.0279651
89 15.0178 0.0644121 5.44801 0.0279575
90 15.0171 0.0636957 5.4497 0.0276968
91 15.008 0.0636584 5.44797 0.0274455
92 15.0228 0.0646864 5.44468 0.0273446
93 15.0139 0.0645972 5.44615 0.0270892
94 15.0169 0.0639757 5.44577 0.0268023
95 15.0122 0.0634738 5.44696 0.0265453
96 15.0156 0.0628987 5.4455 0.0263079
97 15.0153 0.0622473 5.44185 0.0262901
98 15.0073 0.0621331 5.44253 0.0260294
99 15.0053 0.0615328 5.44131 0.0257941
100 15.0016 0.0610287 5.4374 0.0258324
