#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.42284     2.42284           0
           2     2.51041     2.46662   0.0309633
           3     2.52493     2.48606   0.0260366
           4     2.53594     2.49853   0.0223146
           5     2.55183     2.50919   0.0202384
           6     2.59497     2.52349   0.0213257
           7     2.58352     2.53206    0.019929
           8     2.55828     2.53534   0.0177053
           9      2.5628     2.53839   0.0159987
          10     2.60773     2.54532   0.0158302
          11     2.58821     2.54922   0.0148635
          12     2.60802     2.55412   0.0144098
          13     2.58006     2.55612   0.0134388
          14     2.57208     2.55726   0.0125272
          15     2.55999     2.55744   0.0116933
          16     2.60978     2.56071    0.011411
          17     2.63583     2.56513   0.0115637
          18     2.52794     2.56306   0.0111043
          19     2.55045      2.5624   0.0105397
          20     2.54903     2.56173   0.0100339
