#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.205656   -0.205656           0
           2   -0.293192   -0.249424   0.0309488
           3   -0.307675   -0.268841   0.0260202
           4   -0.318759   -0.281321    0.022308
           5   -0.334674   -0.291991   0.0202382
           6   -0.377932   -0.306315   0.0213401
           7   -0.366489   -0.314911   0.0199479
           8   -0.341224     -0.3182   0.0177235
           9   -0.345674   -0.321253    0.016015
          10   -0.390565   -0.328184   0.0158425
          11   -0.371145    -0.33209   0.0148759
          12   -0.390905   -0.336991   0.0144211
          13   -0.362873   -0.338982   0.0134485
          14   -0.354863   -0.340116   0.0125357
          15   -0.342898   -0.340302   0.0117013
          16   -0.392706   -0.343577   0.0114192
          17   -0.418704   -0.347996    0.011571
          18   -0.310785   -0.345929   0.0111113
          19   -0.333325   -0.345265   0.0105463
          20   -0.331785   -0.344591   0.0100405
