#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.61522     1.61522           0
           2     1.67361     1.64442   0.0206422
           3     1.68329     1.65737   0.0173577
           4     1.69062     1.66569   0.0148764
           5     1.70122     1.67279   0.0134923
           6     1.72998     1.68232   0.0142171
           7     1.72234     1.68804    0.013286
           8     1.70552     1.69023   0.0118035
           9     1.70853     1.69226   0.0106658
          10     1.73848     1.69688   0.0105534
          11     1.72548     1.69948  0.00990898
          12     1.73868     1.70275  0.00960654
          13     1.72004     1.70408  0.00895918
          14     1.71472     1.70484  0.00835144
          15     1.70666     1.70496  0.00779556
          16     1.73986     1.70714  0.00760732
          17     1.75722     1.71009  0.00770916
          18     1.68529     1.70871   0.0074029
          19      1.7003     1.70827  0.00702649
          20     1.69936     1.70782  0.00668928
