#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.21718     2.21718           0
           2     2.21722      2.2172 1.44498e-05
           3     2.21725     2.21722  1.7287e-05
           4     2.21718     2.21721  1.5566e-05
           5     2.21716      2.2172 1.55904e-05
           6     2.21704     2.21717 2.71456e-05
           7     2.21703     2.21715  3.0004e-05
           8     2.21705     2.21714 2.86156e-05
           9     2.21712     2.21714 2.54886e-05
          10     2.21716     2.21714 2.30523e-05
          11     2.21707     2.21713 2.18396e-05
          12     2.21711     2.21713 2.00826e-05
          13     2.21719     2.21714 1.89779e-05
          14     2.21722     2.21714 1.85749e-05
          15     2.21709     2.21714 1.76382e-05
          16     2.21708     2.21713 1.69417e-05
          17     2.21713     2.21713 1.59481e-05
          18     2.21716     2.21714 1.51099e-05
          19     2.21712     2.21713 1.43249e-05
          20     2.21725     2.21714 1.46897e-05
